# FORPRINT: Tue Nov 29 08:32:13 2016
# lambda[um]  F1       F2
   0.70300  2.19e-10  1.28e-11
   0.70400  2.20e-10  1.28e-11
   0.70500  2.20e-10  1.29e-11
   0.70600  2.19e-10  1.28e-11
   0.70700  2.19e-10  1.27e-11
   0.70800  2.19e-10  1.26e-11
   0.70900  2.18e-10  1.26e-11
   0.71000  2.18e-10  1.26e-11
   0.71100  2.18e-10  1.25e-11
   0.71200  2.17e-10  1.24e-11
   0.71300  2.17e-10  1.23e-11
   0.71400  2.16e-10  1.22e-11
   0.71500  2.16e-10  1.21e-11
   0.71600  2.16e-10  1.23e-11
   0.71700  2.16e-10  1.25e-11
   0.71800  2.14e-10  1.24e-11
   0.71900  2.13e-10  1.22e-11
   0.72000  2.14e-10  1.23e-11
   0.72100  2.15e-10  1.23e-11
   0.72200  2.15e-10  1.26e-11
   0.72300  2.15e-10  1.28e-11
   0.72400  2.15e-10  1.28e-11
   0.72500  2.16e-10  1.27e-11
   0.72600  2.16e-10  1.28e-11
   0.72700  2.15e-10  1.29e-11
   0.72800  2.14e-10  1.28e-11
   0.72900  2.12e-10  1.28e-11
   0.73000  2.13e-10  1.29e-11
   0.73100  2.14e-10  1.29e-11
   0.73200  2.14e-10  1.29e-11
   0.73300  2.14e-10  1.28e-11
   0.73400  2.14e-10  1.28e-11
   0.73500  2.14e-10  1.29e-11
   0.73600  2.14e-10  1.30e-11
   0.73700  2.14e-10  1.31e-11
   0.73800  2.12e-10  1.31e-11
   0.73900  2.11e-10  1.30e-11
   0.74000  2.09e-10  1.29e-11
   0.74100  2.07e-10  1.28e-11
   0.74200  2.08e-10  1.29e-11
   0.74300  2.10e-10  1.31e-11
   0.74400  2.10e-10  1.31e-11
   0.74500  2.11e-10  1.31e-11
   0.74600  2.11e-10  1.31e-11
   0.74700  2.12e-10  1.32e-11
   0.74800  2.11e-10  1.32e-11
   0.74900  2.10e-10  1.32e-11
   0.75000  2.10e-10  1.32e-11
   0.75100  2.10e-10  1.33e-11
   0.75200  2.10e-10  1.33e-11
   0.75300  2.10e-10  1.34e-11
   0.75400  2.11e-10  1.34e-11
   0.75500  2.11e-10  1.35e-11
   0.75600  2.10e-10  1.35e-11
   0.75700  2.10e-10  1.34e-11
   0.75800  2.09e-10  1.34e-11
   0.75900  2.09e-10  1.34e-11
   0.76000  2.09e-10  1.34e-11
   0.76100  2.09e-10  1.34e-11
   0.76200  2.09e-10  1.34e-11
   0.76300  2.09e-10  1.35e-11
   0.76400  2.09e-10  1.35e-11
   0.76500  2.08e-10  1.35e-11
   0.76600  2.07e-10  1.31e-11
   0.76700  2.05e-10  1.28e-11
   0.76800  2.06e-10  1.31e-11
   0.76900  2.08e-10  1.34e-11
   0.77000  2.07e-10  1.33e-11
   0.77100  2.06e-10  1.31e-11
   0.77200  2.06e-10  1.32e-11
   0.77300  2.07e-10  1.34e-11
   0.77400  2.05e-10  1.33e-11
   0.77500  2.04e-10  1.32e-11
   0.77600  2.05e-10  1.34e-11
   0.77700  2.05e-10  1.36e-11
   0.77800  2.06e-10  1.36e-11
   0.77900  2.06e-10  1.35e-11
   0.78000  2.06e-10  1.35e-11
   0.78100  2.06e-10  1.36e-11
   0.78200  2.05e-10  1.35e-11
   0.78300  2.04e-10  1.34e-11
   0.78400  2.04e-10  1.34e-11
   0.78500  2.03e-10  1.34e-11
   0.78600  2.04e-10  1.35e-11
   0.78700  2.05e-10  1.37e-11
   0.78800  2.05e-10  1.36e-11
