      lambda       flux         err
      10626.3      136392.      1572.00
      10629.0      139400.      1537.07
      10631.8      141338.      1496.54
      10634.6      142399.      1233.19
      10637.3      143483.      2031.33
      10640.1      141619.      1953.13
      10642.9      142724.      1899.17
      10645.6      142003.      1320.79
      10648.4      142090.      1280.70
      10651.2      141820.      1632.13
      10653.9      142404.      1714.27
      10656.7      139705.      1970.45
      10659.4      138103.      1491.49
      10662.2      137422.      1570.44
      10665.0      138274.      1851.79
      10667.7      139040.      2171.55
      10670.5      141943.      1956.30
      10673.3      143422.      1442.81
      10676.0      144639.      1202.22
      10678.8      145467.      1621.44
      10681.6      147360.      2013.24
      10684.3      145489.      1207.20
      10687.1      147065.      1393.23
      10689.8      147005.      1720.66
      10692.6      146842.      1783.75
      10695.4      146179.      2349.75
      10698.1      144613.      1377.23
      10700.9      146828.      1429.77
      10703.7      147194.      1690.24
      10706.4      148648.      2429.99
      10709.2      149562.      1491.82
      10711.9      150933.      1884.04
      10714.7      151669.      1946.34
      10717.5      149192.      1770.12
      10720.2      149065.      1628.94
      10723.0      150191.      3236.53
      10725.8      149862.      2095.42
      10728.5      149373.      1276.71
      10731.3      147792.      1648.55
      10734.1      148881.      1134.62
      10736.8      149796.      2037.88
      10739.6      150177.      1372.93
      10742.3      150392.      1327.69
      10745.1      150365.      1725.90
      10747.9      153488.      1869.85
      10750.6      154022.      1616.90
      10753.4      154370.      2309.34
      10756.2      151830.      1825.03
      10758.9      153970.      1910.49
      10761.7      153793.      2706.06
      10764.5      155743.      1745.24
      10767.2      157060.      2042.61
      10770.0      155356.      1532.43
      10772.7      151087.      2031.03
      10775.5      153304.      1353.83
      10778.3      154883.      1841.75
      10781.0      153068.      1153.91
      10783.8      152201.      820.140
      10786.6      153057.      782.633
      10789.3      153549.      1903.61
      10792.1      152245.      2047.53
      10794.8      151526.      2251.91
      10797.6      153164.      2137.69
      10800.4      153855.      1768.11
      10803.1      152921.      2150.24
      10805.9      158026.      2557.37
      10808.7      156151.      1571.32
      10811.4      156782.      1343.40
      10814.2      157488.      1273.11
      10817.0      161294.      2426.49
      10819.7      160133.      2147.82
      10822.5      157919.      1868.38
      10825.2      158327.      1849.61
      10828.0      158266.      1288.61
      10830.8      157499.      1218.07
      10833.5      156449.      1173.45
      10836.3      159169.      822.772
      10839.1      158337.      1272.91
      10841.8      157966.      1138.58
      10844.6      160714.      1193.31
      10847.3      161056.      1761.98
      10850.1      160871.      905.992
      10852.9      161726.      1240.67
      10855.6      160467.      1476.45
      10858.4      163204.      2221.11
