      lambda       flux         err
      10550.9      40202.4      865.508
      10553.7      41465.6      2772.64
      10556.5      38401.5      2213.00
      10559.2      38693.7      2014.80
      10562.0      40929.5      2162.98
      10564.8      41186.2      2052.03
      10567.5      39791.2      1683.87
      10570.3      39262.5      1908.58
      10573.1      42979.6      2982.56
      10575.8      44299.5      1917.68
      10578.6      41430.3      2894.92
      10581.3      40681.3      2308.49
      10584.1      39538.0      2359.01
      10586.9      41233.7      1678.20
      10589.6      39860.0      2493.76
      10592.4      43292.1      635.776
      10595.2      39253.1      1930.03
      10597.9      39767.4      1907.36
      10600.7      38412.8      1235.25
      10603.5      38332.0      2654.62
      10606.2      38360.9      1891.28
      10609.0      38353.6      1762.17
      10611.8      39734.1      1382.71
      10614.5      41421.4      1911.78
      10617.3      40068.9      2675.73
      10620.0      40484.5      1248.01
      10622.8      41397.3      1669.88
      10625.6      42402.3      1890.70
      10628.3      41369.3      2026.53
      10631.1      42631.0      1688.03
      10633.9      42933.4      1044.52
      10636.6      42106.5      1192.98
      10639.4      41142.3      1793.75
      10642.2      42931.3      1055.30
      10644.9      43793.9      1119.54
      10647.7      44166.8      1695.30
      10650.5      43919.2      1391.97
      10653.2      42746.8      1871.99
      10656.0      40691.0      1918.94
      10658.7      40073.2      1769.40
      10661.5      41219.5      1510.03
      10664.3      41300.3      1741.06
      10667.0      41586.8      2093.21
      10669.8      40479.1      2005.23
      10672.6      41277.8      1347.44
      10675.3      42204.9      1629.47
      10678.1      41005.3      1651.56
      10680.9      44451.3      1971.45
      10683.6      44847.2      1367.72
      10686.4      45017.1      1676.99
      10689.2      43922.8      3467.95
      10691.9      42737.8      1571.15
      10694.7      41892.3      1284.36
      10697.5      44125.8      1386.78
      10700.2      42764.9      1361.44
      10703.0      43107.8      1475.19
      10705.7      43538.4      1975.87
      10708.5      44406.2      2581.18
      10711.3      43896.7      1581.04
      10714.0      45216.4      1697.87
      10716.8      43595.7      1912.92
      10719.6      44003.2      1454.38
      10722.3      43297.8      1931.25
      10725.1      44090.6      1979.39
      10727.9      44684.6      1358.17
      10730.6      46330.6      1422.01
      10733.4      44608.0      3033.26
      10736.2      43982.4      4905.74
      10738.9      45383.6      2626.90
      10741.7      45074.7      1916.70
      10744.4      44571.5      2247.26
      10747.2      44730.2      2035.98
      10750.0      43784.0      2120.91
      10752.7      43138.3      2231.52
      10755.5      45370.1      1432.23
      10758.3      45131.8      1836.51
      10761.0      44701.8      1756.58
      10763.8      48041.5      2269.19
      10766.6      45929.0      1854.29
      10769.3      45906.9      2190.88
      10772.1      46909.1      1871.24
      10774.9      45710.1      2268.15
      10777.6      43638.1      1742.61
      10780.4      43395.0      1727.58
      10783.2      42683.7      1471.80
      10785.9      43698.0      1456.39
      10788.7      43977.7      1755.97
      10791.4      43325.5      1878.69
      10794.2      45460.7      1634.00
      10797.0      44609.8      7320.55
      10799.7      43881.6      12710.0
      10802.5      45048.4      9159.42
      10805.3      44897.4      3104.49
      10808.0      45553.8      846.244
      10810.8      44788.6      1637.49
      10813.6      46025.2      1588.74
      10816.3      46869.8      1638.25
      10819.1      48274.8      2428.87
      10821.9      46169.5      1780.51
      10824.6      46552.1      2276.85
      10827.4      46646.3      1662.36
      10830.1      47752.7      2285.30
      10832.9      45424.0      1761.70
      10835.7      46791.0      1609.66
      10838.4      48306.5      2879.83
      10841.2      48103.3      2866.40
      10844.0      46656.1      2213.74
      10846.7      46937.9      2418.88
      10849.5      48217.3      2005.27
      10852.3      46150.7      1519.25
      10855.0      45698.2      2323.04
      10857.8      47639.3      2344.85
      10860.6      47833.0      2706.82
      10863.3      49557.6      2503.68
      10866.1      48141.0      3394.87
      10868.8      47849.4      3359.79
      10871.6      46927.1      2025.88
      10874.4      47809.2      1351.81
      10877.1      47915.9      2093.91
      10879.9      47064.1      945.635
      10882.7      46140.5      1648.64
      10885.4      46878.2      1578.61
      10888.2      45408.0      2548.28
      10891.0      47841.7      959.813
      10893.7      47052.9      1630.19
      10896.5      48810.6      1595.64
      10899.3      43607.4      1867.48
      10902.0      45776.5      1620.50
      10904.8      45115.9      2504.33
      10907.6      45767.1      1949.30
      10910.3      47623.2      2412.01
      10913.1      49675.9      2406.33
      10915.8      49600.6      2202.30
      10918.6      47833.7      1418.77
      10921.4      48566.0      1140.71
      10924.1      48162.5      1024.41
      10926.9      45899.6      2360.60
      10929.7      47358.9      2113.26
      10932.4      44394.4      3797.09
      10935.2      48959.5      1542.80
      10938.0      48364.7      2142.23
      10940.7      50013.1      3437.43
      10943.5      47279.2      3199.74
      10946.3      45694.2      1727.89
      10949.0      45419.2      3259.86
      10951.8      47492.3      1982.71
      10954.5      49648.4      2307.75
      10957.3      47515.8      2039.18
      10960.1      48853.5      1838.83
      10962.8      49145.9      1858.45
      10965.6      45261.6      3397.80
      10968.4      47881.4      2453.04
      10971.1      46166.1      986.781
      10973.9      45227.2      2492.10
      10976.7      47949.0      3005.90
