#Spectrum of PZTelB from Maire et al. 2016
#Distance assumed: 51.49 +/-2.47 pc (Hipparcos).
#Flux-calibrared using the H-band mag reported in Bejar et al. 2008
#Resolving power: 50
#Wavelength [microns] Flux at 10 pc [W.m-2.microns-1]	Flux error [W.m-2.microns-1]
     0.942700  7.87520e-13  2.40894e-12
     0.942800  7.88957e-13  2.36440e-12
     0.942900  7.90393e-13  2.31987e-12
     0.943000  7.91829e-13  2.27536e-12
     0.943100  7.93266e-13  2.23082e-12
     0.943200  7.94702e-13  2.18629e-12
     0.943300  7.96138e-13  2.14179e-12
     0.943400  7.97575e-13  2.09726e-12
     0.943500  7.99011e-13  2.05273e-12
     0.943600  8.00448e-13  2.00820e-12
     0.943700  8.01884e-13  1.96370e-12
     0.943800  8.03321e-13  1.91918e-12
     0.943900  8.04757e-13  1.87466e-12
     0.944000  8.06194e-13  1.83014e-12
     0.944100  8.07630e-13  1.78565e-12
     0.944200  8.09066e-13  1.74113e-12
     0.944300  8.10503e-13  1.69662e-12
     0.944400  8.11939e-13  1.65214e-12
     0.944500  8.13375e-13  1.60763e-12
     0.944600  8.14812e-13  1.56313e-12
     0.944700  8.16249e-13  1.51863e-12
     0.944800  8.17684e-13  1.47417e-12
     0.944900  8.19121e-13  1.42968e-12
     0.945000  8.20558e-13  1.38519e-12
     0.945100  8.21993e-13  1.34074e-12
     0.945200  8.23430e-13  1.29627e-12
     0.945300  8.24867e-13  1.25180e-12
     0.945400  8.26303e-13  1.20734e-12
     0.945500  8.27739e-13  1.16292e-12
     0.945600  8.29176e-13  1.11847e-12
     0.945700  8.30613e-13  1.07404e-12
     0.945800  8.32048e-13  1.02965e-12
     0.945900  8.33485e-13  9.85240e-13
     0.946000  8.34922e-13  9.40849e-13
     0.946100  8.36087e-13  9.04427e-13
     0.946200  8.36240e-13  8.97761e-13
     0.946300  8.36392e-13  8.91093e-13
     0.946400  8.36545e-13  8.84425e-13
     0.946500  8.36698e-13  8.77761e-13
     0.946600  8.36850e-13  8.71093e-13
     0.946700  8.37003e-13  8.64427e-13
     0.946800  8.37155e-13  8.57760e-13
     0.946900  8.37308e-13  8.51098e-13
     0.947000  8.37460e-13  8.44433e-13
     0.947100  8.37613e-13  8.37768e-13
     0.947200  8.37766e-13  8.31104e-13
     0.947300  8.37918e-13  8.24444e-13
     0.947400  8.38071e-13  8.17781e-13
     0.947500  8.38223e-13  8.11119e-13
     0.947600  8.38376e-13  8.04461e-13
     0.947700  8.38529e-13  7.97799e-13
     0.947800  8.38681e-13  7.91139e-13
     0.947900  8.38834e-13  7.84479e-13
     0.948000  8.38986e-13  7.77823e-13
     0.948100  8.39139e-13  7.71164e-13
     0.948200  8.39291e-13  7.64506e-13
     0.948300  8.39444e-13  7.57849e-13
     0.948400  8.39597e-13  7.51196e-13
     0.948500  8.39749e-13  7.44541e-13
     0.948600  8.39902e-13  7.37885e-13
     0.948700  8.40054e-13  7.31235e-13
     0.948800  8.40207e-13  7.24582e-13
     0.948900  8.40360e-13  7.17929e-13
     0.949000  8.40512e-13  7.11277e-13
     0.949100  8.40665e-13  7.04630e-13
     0.949200  8.40817e-13  6.97980e-13
     0.949300  8.40970e-13  6.91331e-13
     0.949400  8.41122e-13  6.84687e-13
     0.949500  8.41275e-13  6.78040e-13
     0.949600  8.41428e-13  6.71394e-13
     0.949700  8.41580e-13  6.64749e-13
     0.949800  8.41733e-13  6.58109e-13
     0.949900  8.41885e-13  6.51466e-13
     0.950000  8.42038e-13  6.44824e-13
     0.950100  8.42190e-13  6.38188e-13
     0.950200  8.42343e-13  6.31548e-13
     0.950300  8.42496e-13  6.24910e-13
     0.950400  8.42648e-13  6.18274e-13
     0.950500  8.42801e-13  6.11642e-13
     0.950600  8.42953e-13  6.05008e-13
     0.950700  8.43106e-13  5.98376e-13
     0.950800  8.43259e-13  5.91745e-13
     0.950900  8.43411e-13  5.85119e-13
     0.951000  8.43564e-13  5.78491e-13
     0.951100  8.43716e-13  5.71865e-13
     0.951200  8.43869e-13  5.65244e-13
     0.951300  8.44021e-13  5.58621e-13
     0.951400  8.44174e-13  5.52000e-13
     0.951500  8.44327e-13  5.45381e-13
     0.951600  8.44479e-13  5.38768e-13
     0.951700  8.44632e-13  5.32153e-13
     0.951800  8.44784e-13  5.25540e-13
     0.951900  8.44937e-13  5.18929e-13
     0.952000  8.45089e-13  5.12324e-13
     0.952100  8.45242e-13  5.05718e-13
     0.952200  8.45395e-13  4.99114e-13
     0.952300  8.45547e-13  4.92517e-13
     0.952400  8.45700e-13  4.85918e-13
     0.952500  8.45852e-13  4.79323e-13
     0.952600  8.46005e-13  4.72730e-13
     0.952700  8.46158e-13  4.66144e-13
     0.952800  8.46310e-13  4.59557e-13
     0.952900  8.46463e-13  4.52974e-13
